event_time,dataset_timestamp,gt_target,gt_target_min,gt_target_max,reason
2026-06-03 14:28:32.858246+02:00,2026-05-19T19:30:00,87-844,87,844,missing_following_change_lumens
2026-06-03 14:31:57.695031+02:00,2026-05-21T06:30:00,16-772,16,772,missing_following_change_lumens
2026-06-03 14:33:04.530709+02:00,2026-05-21T18:00:00,1255-2012,1255,2012,missing_following_change_lumens
2026-06-03 14:33:11.147245+02:00,2026-05-21T19:00:00,568-1325,568,1325,missing_following_change_lumens
2026-06-03 14:33:17.756889+02:00,2026-05-21T20:00:00,550-1307,550,1307,missing_following_change_lumens
2026-06-03 14:33:25.220932+02:00,2026-05-21T21:00:00,1197-1954,1197,1954,missing_following_change_lumens
2026-06-03 14:34:53.525469+02:00,2026-05-22T19:00:00,104-861,104,861,missing_following_change_lumens
2026-06-03 14:37:27.309069+02:00,2026-05-23T13:30:00,464-1978,464,1978,missing_following_change_lumens
