event_time,dataset_timestamp,gt_target,gt_target_min,gt_target_max,reason
2026-06-02 09:58:16.957066+02:00,2026-05-18T10:00:00,822-2336,822,2336,missing_following_change_lumens
2026-06-02 09:58:19.615429+02:00,2026-05-18T10:30:00,921-2435,921,2435,missing_following_change_lumens
2026-06-02 09:58:22.284356+02:00,2026-05-18T11:00:00,327-1841,327,1841,missing_following_change_lumens
2026-06-02 09:58:24.964502+02:00,2026-05-18T11:30:00,641-2156,641,2156,missing_following_change_lumens
2026-06-02 09:58:56.174807+02:00,2026-05-18T17:00:00,457-1214,457,1214,missing_following_change_lumens
2026-06-02 09:59:01.661383+02:00,2026-05-18T18:00:00,1294-2050,1294,2050,missing_following_change_lumens
2026-06-02 09:59:04.404669+02:00,2026-05-18T18:30:00,131-887,131,887,missing_following_change_lumens
2026-06-02 09:59:07.142618+02:00,2026-05-18T19:00:00,389-1146,389,1146,missing_following_change_lumens
